bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,264,2813,aod,anda1284,{},-4.48734,language,144.767,,Andarum,'Andarum [anda1284][aod]-l-':1,4550,safe
False,0,0,0,,,,ana,anda1286,{},2.74999,language,-76.0,,Andaqui,'Andaqui [anda1286][ana]-l-':1,411,extinct
False,0,0,0,,376,14791,xaa,anda1287,{},,language,,,Andalusian Arabic,'Andalusian Arabic [anda1287][xaa]-l-':1,16712,extinct
False,1,0,0,,66,3823,adg,ande1247,{},-22.51278,language,137.3515,,Andegerebinha,('Ayerrerenge [ayer1246][axe]':1)'Andegerebinha [ande1247][adg]-l-':1,5785,safe
False,0,0,0,,89,8454,anr,andh1242,{},19.4734,language,77.7156,,Andh,'Andh [andh1242][anr]-l-':1,11150,safe
False,5,0,0,,371,4866,ani,andi1255,{},42.8078,language,46.2919,,Andi,"('Gagatl [gaga1250]':1,'Kvanxidatl [kvan1238]':1,'Munin [muni1255]':1,'Rikvani [rikv1238]':1,'Zilo [zilo1238]':1)'Andi [andi1255][ani]-l-':1",7074,definitely endangered
False,0,0,0,,21,10660,bzb,andi1257,{},-0.88368,language,123.174,,Andio,'Andio [andi1257][bzb]-l-':1,13503,vulnerable
False,0,0,0,,204,1354,NOCODE_Andoquero,ando1254,{},-0.666992,language,-72.310867,,Andoquero,'Andoquero [ando1254]-l-':1,2667,extinct
False,0,0,0,,62,2085,anb,ando1255,{},-3.29664,language,-76.6056,,Andoa,'Andoa [ando1255][anb]-l-':1,3750,extinct
False,0,0,0,,,,ano,ando1256,{},-0.53751,language,-72.0869,,Andoque,'Andoque [ando1256][ano]-l-':1,76,severely endangered
False,0,0,0,,151,6361,NOCODE_Andro,andr1246,{},24.754303,language,94.033796,,Andro,'Andro [andr1246]-l-':1,8926,extinct
False,0,0,0,,21,17657,anx,andr1248,{},-2.05894,language,147.085,,Andra-Hus,'Andra-Hus [andr1248][anx]-l-':1,19321,safe
False,0,0,0,,21,13119,aty,anei1239,{},-20.1864,language,169.825,,Aneityum,'Aneityum [anei1239][aty]-l-':1,15699,safe
False,5,0,0,,242,1422,aby,anem1248,{},-9.75911,language,148.479,,Aneme Wake,"('Auwaka [auwa1241]':1,'Buniabura [buni1247]':1,'Doma {Papua New Guinea} [doma1263]':1,'Jari [jari1243]':1,'Mori [mori1270]':1)'Aneme Wake [anem1248][aby]-l-':1",2748,safe
False,0,0,0,,,,anz,anem1249,{},-5.54836,language,148.993,,Anem,'Anem [anem1249][anz]-l-':1,367,safe
False,0,0,0,,342,1589,myo,anfi1235,{},8.568,language,34.647,,Anfillo,'Anfillo [anfi1235][myo]-l-':1,2976,critically endangered
False,10,0,0,,151,11550,njm,anga1288,{},25.6841,language,93.8668,,Angami Naga,"('Chakroma [chak1268]':1,'Dzuna [dzun1241]':1,'Kehena [kehe1240]':1,'Khonoma [khon1248]':1,'Kohima [kohi1249]':1,'Mima [mima1238]':1,'Mozome [mozo1238]':1,'Nali {India} [nali1243]':1,'Tengima [teng1262]':1,'Tenyidie [teny1242]':1)'Angami Naga [anga1288][njm]-l-':1",14386,vulnerable
False,0,0,0,,323,323,agm,anga1290,{},-7.15012,language,146.352,,Angaataha,'Angaataha [anga1290][agm]-l-':1,1565,safe
False,3,0,0,,50,8154,akh,anga1292,{},-6.13347,language,143.478,,Angal Heneng,"('Augu [augu1243]':1,'Nipa [nipa1239]':1,'Waola [waol1238]':1)'Angal Heneng [anga1292][akh]-l-':1",10846,safe
False,0,0,0,,50,8154,age,anga1293,{},-6.0127,language,143.592,,Angal,'Angal [anga1293][age]-l-':1,10847,safe
False,1,0,0,,50,8154,aoe,anga1294,{},-6.23296,language,143.583,,Angal Enen,('Megi [megi1246]':1)'Angal Enen [anga1294][aoe]-l-':1,10845,safe
False,0,0,0,,193,1329,NOCODE_Angami-Sign,anga1315,{},,language,,,Angami Naga Sign Language,'Angami Naga Sign Language [anga1315]-l-':1,2572,safe
False,0,0,0,,35,489,,anga1316,{},,language,,,Angaité,'Angaité [anga1316][aqt]-l-':1,1988,safe
False,0,0,0,,66,3859,NOCODE_Anggamuthi,angg1238,{},,language,,,Anggamuthi,'Anggamuthi [angg1238]-l-':1,5812,extinct
False,0,0,0,,50,3633,yli,angg1239,{},-4.0836,language,139.457,,Angguruk Yali,'Angguruk Yali [angg1239][yli]-l-':1,5470,safe
False,0,0,0,,89,8437,anp,angi1238,{},26.0047,language,85.534,,Angika,'Angika [angi1238][anp]-l-':1,11107,vulnerable
False,0,0,0,,399,1803,rme,angl1239,{},39.0,language,-78.0,,Angloromani,'Angloromani [angl1239][rme]-l-':1,3337,safe
